model,threshold,f1,precision,recall
HistGradientBoosting,0.05,0.261829217823148,0.1532870295590373,0.8969754253308129
HistGradientBoosting,0.06,0.29224620303756993,0.1758706946315182,0.8638941398865785
HistGradientBoosting,0.07,0.3219584569732938,0.20027688047992617,0.8204158790170132
HistGradientBoosting,0.08,0.3487830687830688,0.22470684483228798,0.77882797731569
HistGradientBoosting,0.09,0.38004402054292,0.25635103926096997,0.7344045368620038
HistGradientBoosting,0.1,0.4036343612334802,0.28477078477078477,0.6928166351606805
HistGradientBoosting,0.11,0.42708968883465526,0.3153153153153153,0.6616257088846881
HistGradientBoosting,0.12,0.44828732956434986,0.3458183683940482,0.6370510396975425
HistGradientBoosting,0.13,0.4639321074964639,0.3706214689265537,0.6200378071833649
HistGradientBoosting,0.14,0.47190174916263494,0.38919582565991406,0.5992438563327032
HistGradientBoosting,0.15,0.47888415342890356,0.4057780695994747,0.5841209829867675
HistGradientBoosting,0.16,0.4829522663457681,0.4195121951219512,0.5689981096408318
HistGradientBoosting,0.17,0.4828724721419727,0.42857142857142855,0.552930056710775
HistGradientBoosting,0.18,0.4873096446700508,0.44104134762633995,0.5444234404536862
HistGradientBoosting,0.19,0.48658008658008656,0.4488817891373802,0.5311909262759924
HistGradientBoosting,0.2,0.4889282550930026,0.46,0.5217391304347826
HistGradientBoosting,0.21,0.4891696750902528,0.4680483592400691,0.5122873345935728
HistGradientBoosting,0.22,0.48187241854061497,0.4683318465655665,0.4962192816635161
HistGradientBoosting,0.23,0.477124183006536,0.4714022140221402,0.4829867674858223
HistGradientBoosting,0.24,0.47393364928909953,0.4752851711026616,0.4725897920604915
HistGradientBoosting,0.25,0.4751807228915663,0.48475909537856443,0.4659735349716446
HistGradientBoosting,0.26,0.4735294117647059,0.49185336048879835,0.45652173913043476
HistGradientBoosting,0.27,0.4778496764559482,0.5047318611987381,0.45368620037807184
HistGradientBoosting,0.28,0.47142134547293874,0.5070729053318824,0.44045368620037806
HistGradientBoosting,0.29,0.46871794871794875,0.5123318385650224,0.43194706994328924
HistGradientBoosting,0.3,0.46753246753246747,0.5190311418685121,0.42533081285444235
HistGradientBoosting,0.31,0.464529689963216,0.5230769230769231,0.41776937618147447
HistGradientBoosting,0.32,0.45711241342567926,0.5238095238095238,0.4054820415879017
HistGradientBoosting,0.33,0.4470971242539338,0.5248407643312102,0.389413988657845
HistGradientBoosting,0.34,0.4417448923246825,0.5312084993359893,0.3780718336483932
HistGradientBoosting,0.35,0.4385866517106001,0.5393103448275862,0.3695652173913043
HistGradientBoosting,0.36,0.44040862656072643,0.5511363636363636,0.3667296786389414
HistGradientBoosting,0.37,0.4303065355696935,0.5543964232488823,0.3516068052930057
HistGradientBoosting,0.38,0.42848734549735146,0.5678627145085804,0.3440453686200378
HistGradientBoosting,0.39,0.4149128081779916,0.5702479338842975,0.32608695652173914
HistGradientBoosting,0.4,0.41050702504581543,0.5803108808290155,0.31758034026465026
HistGradientBoosting,0.41,0.39003115264797505,0.5722120658135283,0.29584120982986767
HistGradientBoosting,0.42,0.38095238095238093,0.5802707930367504,0.2835538752362949
HistGradientBoosting,0.43,0.37209302325581395,0.5877551020408164,0.2722117202268431
HistGradientBoosting,0.44,0.36267372600926534,0.6048565121412803,0.2589792060491493
HistGradientBoosting,0.45,0.34617985125084516,0.6080760095011877,0.24196597353497165
HistGradientBoosting,0.46,0.3424283765347885,0.6151960784313726,0.23724007561436672
HistGradientBoosting,0.47,0.3372333103922918,0.620253164556962,0.23156899810964082
HistGradientBoosting,0.48,0.3340292275574113,0.633245382585752,0.22684310018903592
HistGradientBoosting,0.49,0.32842105263157895,0.6376021798365122,0.22117202268431002
HistGradientBoosting,0.5,0.31834403997144894,0.6501457725947521,0.2107750472589792
HistGradientBoosting,0.51,0.3118201595358956,0.6697819314641744,0.20321361058601134
HistGradientBoosting,0.52,0.2958057395143488,0.6677740863787376,0.1899810964083176
HistGradientBoosting,0.53,0.2893175074183976,0.6724137931034483,0.1843100189035917
HistGradientBoosting,0.54,0.28335832083958024,0.6847826086956522,0.1786389413988658
HistGradientBoosting,0.55,0.2772727272727273,0.6984732824427481,0.17296786389413987
HistGradientBoosting,0.56,0.2715484363081617,0.7035573122529645,0.16824196597353497
HistGradientBoosting,0.57,0.26594926979246736,0.7119341563786008,0.16351606805293006
HistGradientBoosting,0.58,0.2589147286821705,0.7198275862068966,0.15784499054820417
HistGradientBoosting,0.59,0.24588880187940487,0.7168949771689498,0.14839319470699433
HistGradientBoosting,0.6,0.23436262866191607,0.7219512195121951,0.13988657844990549
HistGradientBoosting,0.61,0.22541966426858515,0.7305699481865285,0.1332703213610586
HistGradientBoosting,0.62,0.21486268174474962,0.7388888888888889,0.12570888468809074
HistGradientBoosting,0.63,0.21103896103896105,0.7471264367816092,0.12287334593572778
HistGradientBoosting,0.64,0.20424836601307192,0.7530120481927711,0.11814744801512288
HistGradientBoosting,0.65,0.18889809444904723,0.7651006711409396,0.10775047258979206
HistGradientBoosting,0.66,0.17267393126571667,0.762962962962963,0.09735349716446125
HistGradientBoosting,0.67,0.1628498727735369,0.7933884297520661,0.09073724007561437
HistGradientBoosting,0.68,0.14751286449399656,0.7962962962962963,0.08128544423440454
HistGradientBoosting,0.69,0.12706701479547433,0.8021978021978022,0.06899810964083176
HistGradientBoosting,0.7,0.11091549295774647,0.8076923076923077,0.05954631379962193
HistGradientBoosting,0.71,0.08936550491510277,0.819672131147541,0.04725897920604915
HistGradientBoosting,0.72,0.07407407407407407,0.8367346938775511,0.038752362948960305
HistGradientBoosting,0.73,0.058287795992714025,0.8,0.030245746691871456
HistGradientBoosting,0.74,0.04411764705882353,0.8,0.022684310018903593
HistGradientBoosting,0.75,0.03148148148148148,0.7727272727272727,0.01606805293005671
HistGradientBoosting,0.76,0.01865671641791045,0.7142857142857143,0.00945179584120983
HistGradientBoosting,0.77,0.014953271028037386,0.6666666666666666,0.007561436672967864
HistGradientBoosting,0.78,0.011235955056179775,0.6,0.005671077504725898
HistGradientBoosting,0.79,0.005644402634054563,0.6,0.002835538752362949
HistGradientBoosting,0.8,0.005655042412818097,1.0,0.002835538752362949
HistGradientBoosting,0.81,0.0,0.0,0.0
HistGradientBoosting,0.82,0.0,0.0,0.0
HistGradientBoosting,0.83,0.0,0.0,0.0
HistGradientBoosting,0.84,0.0,0.0,0.0
HistGradientBoosting,0.85,0.0,0.0,0.0
HistGradientBoosting,0.86,0.0,0.0,0.0
HistGradientBoosting,0.87,0.0,0.0,0.0
HistGradientBoosting,0.88,0.0,0.0,0.0
HistGradientBoosting,0.89,0.0,0.0,0.0
HistGradientBoosting,0.9,0.0,0.0,0.0
HistGradientBoosting,0.91,0.0,0.0,0.0
HistGradientBoosting,0.92,0.0,0.0,0.0
HistGradientBoosting,0.93,0.0,0.0,0.0
HistGradientBoosting,0.94,0.0,0.0,0.0
HistGradientBoosting,0.95,0.0,0.0,0.0
